<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02.11.2020;0;36272.0000000;36550.0000000;35595.0000000;35595.0000000;280
03.11.2020;0;35523.0000000;36237.0000000;35401.0000000;36072.0000000;82
05.11.2020;0;38669.0000000;39013.0000000;37926.0000000;37933.0000000;798
06.11.2020;0;38191.0000000;38634.0000000;38000.0000000;38333.0000000;166
09.11.2020;0;39038.0000000;39114.0000000;36303.0000000;36303.0000000;1572
10.11.2020;0;36303.0000000;36348.0000000;34251.0000000;34613.0000000;920
11.11.2020;0;34762.0000000;36065.0000000;34600.0000000;35960.0000000;134
12.11.2020;0;36046.0000000;36536.0000000;35847.0000000;35968.0000000;181
13.11.2020;0;36200.0000000;36381.0000000;35867.0000000;36376.0000000;186
16.11.2020;0;36473.0000000;36512.0000000;34998.0000000;35034.0000000;417
17.11.2020;0;35133.0000000;35788.0000000;35133.0000000;35690.0000000;151
18.11.2020;0;35516.0000000;35600.0000000;34991.0000000;35165.0000000;84
19.11.2020;0;35165.0000000;35900.0000000;35144.0000000;35600.0000000;95
20.11.2020;0;35538.0000000;35742.0000000;35340.0000000;35720.0000000;64
23.11.2020;0;35400.0000000;35400.0000000;34917.0000000;35088.0000000;232
24.11.2020;0;35227.0000000;35256.0000000;34676.0000000;34837.0000000;116
25.11.2020;0;35144.0000000;35665.0000000;34886.0000000;35600.0000000;134
27.11.2020;0;35827.0000000;36562.0000000;35827.0000000;36219.0000000;119
30.11.2020;0;37399.0000000;37399.0000000;36002.0000000;36287.0000000;74
01.12.2020;0;36752.0000000;37000.0000000;35741.0000000;36248.0000000;207
02.12.2020;0;36162.0000000;36162.0000000;35500.0000000;36050.0000000;74
03.12.2020;0;36136.0000000;36550.0000000;35988.0000000;36056.0000000;914
04.12.2020;0;36211.0000000;36211.0000000;35880.0000000;35966.0000000;87
07.12.2020;0;36194.0000000;36544.0000000;35891.0000000;36312.0000000;274
08.12.2020;0;36265.0000000;36307.0000000;35674.0000000;36240.0000000;182
09.12.2020;0;36462.0000000;36707.0000000;35600.0000000;35689.0000000;413
10.12.2020;0;35404.0000000;35718.0000000;34465.0000000;34880.0000000;963
11.12.2020;0;34857.0000000;35063.0000000;34353.0000000;34576.0000000;236
14.12.2020;0;34864.0000000;36000.0000000;34760.0000000;35939.0000000;145
15.12.2020;0;35888.0000000;36096.0000000;35434.0000000;35434.0000000;130
16.12.2020;0;35614.0000000;36050.0000000;35553.0000000;36000.0000000;126
17.12.2020;0;35823.0000000;36193.0000000;35772.0000000;36131.0000000;273
18.12.2020;0;36950.0000000;36950.0000000;36225.0000000;36485.0000000;137
21.12.2020;0;37053.0000000;37660.0000000;36590.0000000;37402.0000000;1098
22.12.2020;0;37648.0000000;38390.0000000;37487.0000000;38185.0000000;207
23.12.2020;0;38018.0000000;38115.0000000;37463.0000000;37630.0000000;311
24.12.2020;0;37238.0000000;37332.0000000;36900.0000000;36900.0000000;53
28.12.2020;0;37000.0000000;37329.0000000;36720.0000000;36769.0000000;276
29.12.2020;0;36769.0000000;37273.0000000;36769.0000000;37200.0000000;61
30.12.2020;0;37310.0000000;37570.0000000;37075.0000000;37075.0000000;83
04.01.2021;0;37093.0000000;37093.0000000;35457.0000000;35998.0000000;346
05.01.2021;0;36368.0000000;36591.0000000;35499.0000000;35832.0000000;278
06.01.2021;0;35616.0000000;35616.0000000;34520.0000000;34573.0000000;1838
08.01.2021;0;35506.0000000;35920.0000000;35344.0000000;35852.0000000;282
11.01.2021;0;36014.0000000;36323.0000000;35360.0000000;35360.0000000;210
12.01.2021;0;35495.0000000;35495.0000000;34270.0000000;34801.0000000;216
13.01.2021;0;34845.0000000;35264.0000000;34664.0000000;34870.0000000;193
14.01.2021;0;34922.0000000;35009.0000000;33890.0000000;34072.0000000;405
15.01.2021;0;34087.0000000;34364.0000000;33777.0000000;33818.0000000;419
19.01.2021;0;31984.0000000;34395.0000000;31984.0000000;33729.0000000;214
20.01.2021;0;33849.0000000;34666.0000000;33720.0000000;34666.0000000;531
21.01.2021;0;34646.0000000;35100.0000000;34449.0000000;34932.0000000;247
22.01.2021;0;34831.0000000;35741.0000000;34831.0000000;35667.0000000;292
25.01.2021;0;35328.0000000;36034.0000000;35186.0000000;35515.0000000;446
26.01.2021;0;35508.0000000;35800.0000000;35350.0000000;35750.0000000;77
27.01.2021;0;35680.0000000;36040.0000000;34604.0000000;34788.0000000;454
28.01.2021;0;34868.0000000;36000.0000000;34432.0000000;35564.0000000;822
29.01.2021;0;35306.0000000;35306.0000000;34580.0000000;34720.0000000;114
01.02.2021;0;34898.0000000;35985.0000000;34850.0000000;35885.0000000;301
02.02.2021;0;35835.0000000;37077.0000000;35650.0000000;37077.0000000;514
03.02.2021;0;37091.0000000;37262.0000000;36431.0000000;36600.0000000;355
04.02.2021;0;35054.0000000;36967.0000000;35054.0000000;36967.0000000;133
05.02.2021;0;36914.0000000;36914.0000000;36595.0000000;36716.0000000;63
08.02.2021;0;36870.0000000;36945.0000000;36435.0000000;36492.0000000;204
09.02.2021;0;36649.0000000;36754.0000000;36401.0000000;36754.0000000;91
10.02.2021;0;36871.0000000;36871.0000000;36240.0000000;36519.0000000;78
11.02.2021;0;36486.0000000;36540.0000000;36230.0000000;36425.0000000;67
12.02.2021;0;36420.0000000;36881.0000000;36420.0000000;36520.0000000;67
16.02.2021;0;37750.0000000;37750.0000000;36691.0000000;37004.0000000;198
17.02.2021;0;37008.0000000;37173.0000000;36000.0000000;36000.0000000;127
18.02.2021;0;36326.0000000;36326.0000000;35633.0000000;36058.0000000;364
19.02.2021;0;35945.0000000;36252.0000000;35362.0000000;35370.0000000;195
22.02.2021;0;35675.0000000;35759.0000000;34750.0000000;34750.0000000;356
24.02.2021;0;34390.0000000;35040.0000000;34058.0000000;35040.0000000;370
25.02.2021;0;35207.0000000;35207.0000000;34170.0000000;34437.0000000;643
26.02.2021;0;33832.0000000;34757.0000000;33723.0000000;34609.0000000;469
01.03.2021;0;34555.0000000;34858.0000000;34369.0000000;34858.0000000;409
02.03.2021;0;34885.0000000;34920.0000000;34370.0000000;34628.0000000;68
03.03.2021;0;34627.0000000;34806.0000000;33168.0000000;33388.0000000;193
04.03.2021;0;32947.0000000;33532.0000000;32401.0000000;33208.0000000;613
05.03.2021;0;32535.0000000;33033.0000000;31645.0000000;32450.0000000;544
09.03.2021;0;31660.0000000;32632.0000000;31660.0000000;32500.0000000;453
10.03.2021;0;32356.0000000;33059.0000000;32310.0000000;32310.0000000;561
11.03.2021;0;32999.0000000;33220.0000000;32565.0000000;33116.0000000;259
12.03.2021;0;32950.0000000;32950.0000000;32000.0000000;32497.0000000;359
15.03.2021;0;32579.0000000;32750.0000000;32088.0000000;32500.0000000;390
16.03.2021;0;32829.0000000;33250.0000000;32790.0000000;32965.0000000;156
17.03.2021;0;32916.0000000;33245.0000000;32656.0000000;33245.0000000;169
18.03.2021;0;33245.0000000;33245.0000000;32500.0000000;32679.0000000;353
19.03.2021;0;32724.0000000;32961.0000000;32514.0000000;32804.0000000;89
22.03.2021;0;32989.0000000;34320.0000000;32989.0000000;33919.0000000;250
23.03.2021;0;33919.0000000;35772.0000000;33791.0000000;35595.0000000;1387
24.03.2021;0;35092.0000000;35459.0000000;34314.0000000;34622.0000000;556
25.03.2021;0;34648.0000000;34728.0000000;34025.0000000;34365.0000000;88
26.03.2021;0;34293.0000000;35500.0000000;34223.0000000;35500.0000000;161
29.03.2021;0;35333.0000000;35736.0000000;34985.0000000;35516.0000000;438
30.03.2021;0;35437.0000000;35546.0000000;35236.0000000;35285.0000000;148
31.03.2021;0;35199.0000000;36380.0000000;34933.0000000;35953.0000000;286
01.04.2021;0;35953.0000000;37050.0000000;35952.0000000;36910.0000000;309
05.04.2021;0;36910.0000000;37798.0000000;36741.0000000;37540.0000000;300
06.04.2021;0;38399.0000000;38399.0000000;37366.0000000;38006.0000000;117
07.04.2021;0;38180.0000000;38400.0000000;37801.0000000;37952.0000000;137
08.04.2021;0;38289.0000000;38818.0000000;38289.0000000;38475.0000000;132
09.04.2021;0;38453.0000000;39000.0000000;38262.0000000;38873.0000000;108
12.04.2021;0;38859.0000000;39150.0000000;38678.0000000;39103.0000000;126
13.04.2021;0;38999.0000000;39777.0000000;38795.0000000;39030.0000000;196
14.04.2021;0;39086.0000000;39086.0000000;38478.0000000;38716.0000000;135
15.04.2021;0;38716.0000000;40100.0000000;38714.0000000;39961.0000000;195
16.04.2021;0;39421.0000000;39740.0000000;39323.0000000;39740.0000000;53
19.04.2021;0;39800.0000000;40970.0000000;39350.0000000;39382.0000000;264
20.04.2021;0;39096.0000000;39593.0000000;39096.0000000;39410.0000000;66
21.04.2021;0;40439.0000000;40439.0000000;39060.0000000;39217.0000000;26
22.04.2021;0;39265.0000000;39265.0000000;38270.0000000;38270.0000000;83
23.04.2021;0;37962.0000000;38782.0000000;37962.0000000;38743.0000000;246
26.04.2021;0;38387.0000000;38625.0000000;38357.0000000;38595.0000000;197
27.04.2021;0;38686.0000000;38856.0000000;38400.0000000;38816.0000000;37
28.04.2021;0;38554.0000000;38596.0000000;38300.0000000;38305.0000000;71
29.04.2021;0;38620.0000000;38620.0000000;38285.0000000;38312.0000000;192
30.04.2021;0;38265.0000000;38574.0000000;38264.0000000;38566.0000000;142
04.05.2021;0;37905.0000000;37905.0000000;36457.0000000;36780.0000000;190
05.05.2021;0;36800.0000000;37183.0000000;36400.0000000;36476.0000000;91
06.05.2021;0;36530.0000000;37400.0000000;35475.0000000;35980.0000000;272
