<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
25.08.2020;0;6254.0000000;6560.0000000;6190.0000000;6549.0000000;7708
26.08.2020;0;6550.0000000;6676.0000000;6460.0000000;6517.0000000;3635
27.08.2020;0;6493.0000000;6533.0000000;6234.0000000;6314.0000000;2214
28.08.2020;0;6250.0000000;6438.0000000;6208.0000000;6277.0000000;2996
31.08.2020;0;6198.0000000;6889.0000000;6190.0000000;6680.0000000;5407
01.09.2020;0;6755.0000000;6899.0000000;6658.0000000;6807.0000000;4133
02.09.2020;0;6888.0000000;7137.0000000;6710.0000000;6830.0000000;8965
03.09.2020;0;6816.0000000;6880.0000000;6158.0000000;6251.0000000;24345
04.09.2020;0;6250.0000000;6345.0000000;5770.0000000;6198.0000000;11675
08.09.2020;0;6262.0000000;6263.0000000;5920.0000000;6015.0000000;11734
09.09.2020;0;5978.0000000;6217.0000000;5978.0000000;6141.0000000;6427
10.09.2020;0;6250.0000000;6257.0000000;5917.0000000;5950.0000000;7378
11.09.2020;0;6047.0000000;6047.0000000;5643.0000000;5764.0000000;7968
14.09.2020;0;5800.0000000;5917.0000000;5747.0000000;5851.0000000;31148
15.09.2020;0;5887.0000000;6020.0000000;5713.0000000;5925.0000000;13036
16.09.2020;0;5919.0000000;5974.0000000;5756.0000000;5785.0000000;4031
17.09.2020;0;5800.0000000;5800.0000000;5565.0000000;5755.0000000;6388
18.09.2020;0;5747.0000000;5840.0000000;5599.0000000;5685.0000000;3295
21.09.2020;0;5623.0000000;5951.0000000;5566.0000000;5925.0000000;14198
22.09.2020;0;5950.0000000;5987.0000000;5746.0000000;5915.0000000;4748
23.09.2020;0;5875.0000000;5980.0000000;5740.0000000;5777.0000000;3978
24.09.2020;0;5721.0000000;5952.0000000;5694.0000000;5831.0000000;4638
25.09.2020;0;5832.0000000;6109.0000000;5807.0000000;6095.0000000;3051
28.09.2020;0;6095.0000000;6300.0000000;6095.0000000;6300.0000000;5134
29.09.2020;0;6300.0000000;6514.0000000;6228.0000000;6387.0000000;5614
30.09.2020;0;6392.0000000;6430.0000000;6292.0000000;6356.0000000;3121
01.10.2020;0;6365.0000000;6587.0000000;6365.0000000;6500.0000000;3308
02.10.2020;0;6446.0000000;6627.0000000;6400.0000000;6407.0000000;2645
05.10.2020;0;6456.0000000;6743.0000000;6430.0000000;6743.0000000;2268
06.10.2020;0;6743.0000000;6810.0000000;6569.0000000;6611.0000000;5913
07.10.2020;0;6985.0000000;6985.0000000;6654.0000000;6775.0000000;2239
08.10.2020;0;6811.0000000;6860.0000000;6650.0000000;6727.0000000;6367
09.10.2020;0;6730.0000000;6735.0000000;6301.0000000;6377.0000000;20785
13.10.2020;0;6598.0000000;6630.0000000;6478.0000000;6570.0000000;7084
14.10.2020;0;6620.0000000;6687.0000000;6489.0000000;6527.0000000;4319
15.10.2020;0;6469.0000000;6615.0000000;6358.0000000;6478.0000000;3378
16.10.2020;0;6478.0000000;6550.0000000;6421.0000000;6475.0000000;2717
19.10.2020;0;6604.0000000;6604.0000000;6350.0000000;6393.0000000;3925
20.10.2020;0;6400.0000000;6446.0000000;6265.0000000;6312.0000000;1364
21.10.2020;0;6380.0000000;6388.0000000;6087.0000000;6116.0000000;3460
