<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
08.09.2020;0;9840.0000000;9840.0000000;8599.0000000;8719.0000000;13584
09.09.2020;0;8893.0000000;9000.0000000;8640.0000000;8863.0000000;8959
10.09.2020;0;9040.0000000;9040.0000000;8490.0000000;8660.0000000;9934
11.09.2020;0;8660.0000000;8723.0000000;8200.0000000;8459.0000000;14058
14.09.2020;0;8538.0000000;8765.0000000;8463.0000000;8746.0000000;10247
15.09.2020;0;8801.0000000;8921.0000000;8537.0000000;8683.0000000;22170
16.09.2020;0;8700.0000000;8722.0000000;8425.0000000;8482.0000000;12767
17.09.2020;0;8590.0000000;8600.0000000;8000.0000000;8393.0000000;10067
18.09.2020;0;8350.0000000;8417.0000000;8044.0000000;8142.0000000;10895
21.09.2020;0;8150.0000000;8450.0000000;7895.0000000;8339.0000000;14002
22.09.2020;0;8350.0000000;8554.0000000;8286.0000000;8481.0000000;20168
23.09.2020;0;8505.0000000;8983.0000000;8240.0000000;8249.0000000;12286
24.09.2020;0;8250.0000000;8491.0000000;8128.0000000;8351.0000000;14804
25.09.2020;0;8548.0000000;8829.0000000;8301.0000000;8806.0000000;14899
28.09.2020;0;8806.0000000;9098.0000000;8806.0000000;9098.0000000;13474
29.09.2020;0;9250.0000000;9250.0000000;8941.0000000;9000.0000000;8401
30.09.2020;0;8978.0000000;9100.0000000;8817.0000000;8962.0000000;5458
01.10.2020;0;9049.0000000;9110.0000000;8985.0000000;9045.0000000;7841
02.10.2020;0;9000.0000000;9044.0000000;8551.0000000;8866.0000000;13797
05.10.2020;0;8921.0000000;9106.0000000;8885.0000000;9083.0000000;14315
06.10.2020;0;9084.0000000;9167.0000000;8820.0000000;8851.0000000;10288
07.10.2020;0;8949.0000000;9026.0000000;8909.0000000;8988.0000000;4721
08.10.2020;0;8988.0000000;9077.0000000;8870.0000000;8909.0000000;8213
09.10.2020;0;9044.0000000;9044.0000000;8859.0000000;9012.0000000;5911
13.10.2020;0;9380.0000000;9815.0000000;9100.0000000;9343.0000000;47100
14.10.2020;0;9610.0000000;9610.0000000;9297.0000000;9400.0000000;9609
15.10.2020;0;9300.0000000;9463.0000000;9160.0000000;9427.0000000;14466
16.10.2020;0;9400.0000000;9524.0000000;9270.0000000;9295.0000000;8981
19.10.2020;0;9379.0000000;9431.0000000;9011.0000000;9055.0000000;14135
20.10.2020;0;9115.0000000;9204.0000000;9005.0000000;9075.0000000;11391
21.10.2020;0;9107.0000000;9128.0000000;8970.0000000;8985.0000000;4064
22.10.2020;0;8900.0000000;9046.0000000;8801.0000000;8885.0000000;8882
23.10.2020;0;8894.0000000;8919.0000000;8718.0000000;8765.0000000;5085
26.10.2020;0;8735.0000000;8870.0000000;8655.0000000;8802.0000000;7046
27.10.2020;0;8803.0000000;9045.0000000;8759.0000000;9014.0000000;10843
28.10.2020;0;8980.0000000;9078.0000000;8602.0000000;8845.0000000;9186
29.10.2020;0;8900.0000000;9220.0000000;8639.0000000;8799.0000000;24450
30.10.2020;0;8799.0000000;8829.0000000;8477.0000000;8675.0000000;11646
02.11.2020;0;8601.0000000;9000.0000000;8601.0000000;8720.0000000;14189
03.11.2020;0;8750.0000000;8820.0000000;8652.0000000;8798.0000000;13626
05.11.2020;0;9054.0000000;9240.0000000;9050.0000000;9145.0000000;9544
06.11.2020;0;9144.0000000;9230.0000000;9000.0000000;9209.0000000;6044
09.11.2020;0;9372.0000000;9437.0000000;8978.0000000;8996.0000000;12945
10.11.2020;0;9024.0000000;9037.0000000;8740.0000000;8920.0000000;15630
11.11.2020;0;8938.0000000;9208.0000000;8865.0000000;9181.0000000;6960
12.11.2020;0;9181.0000000;9286.0000000;9103.0000000;9227.0000000;5762
13.11.2020;0;9229.0000000;9314.0000000;9156.0000000;9247.0000000;4248
16.11.2020;0;9406.0000000;9406.0000000;9056.0000000;9149.0000000;5081
17.11.2020;0;9150.0000000;9213.0000000;9102.0000000;9127.0000000;1656
18.11.2020;0;9127.0000000;9127.0000000;8986.0000000;9039.0000000;4810
19.11.2020;0;9111.0000000;9111.0000000;8944.0000000;9030.0000000;3000
20.11.2020;0;8989.0000000;9050.0000000;8968.0000000;8979.0000000;1984
23.11.2020;0;8786.0000000;8984.0000000;8680.0000000;8682.0000000;12750
24.11.2020;0;8867.0000000;8867.0000000;8551.0000000;8715.0000000;11490
25.11.2020;0;8799.0000000;8864.0000000;8687.0000000;8780.0000000;6577
27.11.2020;0;8845.0000000;8925.0000000;8789.0000000;8855.0000000;5648
30.11.2020;0;8860.0000000;9230.0000000;8765.0000000;9205.0000000;13069
01.12.2020;0;9155.0000000;9341.0000000;9106.0000000;9299.0000000;14652
02.12.2020;0;9426.0000000;9475.0000000;9116.0000000;9242.0000000;5243
03.12.2020;0;9242.0000000;9278.0000000;9115.0000000;9150.0000000;5123
04.12.2020;0;9201.0000000;9201.0000000;8983.0000000;9040.0000000;3943
07.12.2020;0;9265.0000000;9265.0000000;9003.0000000;9100.0000000;4905
08.12.2020;0;9104.0000000;9185.0000000;9029.0000000;9172.0000000;4851
09.12.2020;0;9150.0000000;9253.0000000;8961.0000000;9000.0000000;4560
10.12.2020;0;8980.0000000;9037.0000000;8810.0000000;9020.0000000;4158
11.12.2020;0;8986.0000000;9029.0000000;8810.0000000;8901.0000000;3329
14.12.2020;0;9025.0000000;9074.0000000;8895.0000000;9006.0000000;3084
15.12.2020;0;9006.0000000;9371.0000000;8966.0000000;9364.0000000;10076
16.12.2020;0;9269.0000000;9442.0000000;9269.0000000;9393.0000000;7843
17.12.2020;0;9403.0000000;9469.0000000;9330.0000000;9352.0000000;5237
18.12.2020;0;9386.0000000;9535.0000000;9269.0000000;9280.0000000;5307
21.12.2020;0;9385.0000000;9555.0000000;9280.0000000;9551.0000000;23911
22.12.2020;0;9649.0000000;10132.0000000;9648.0000000;10000.0000000;18860
23.12.2020;0;9909.0000000;10210.0000000;9784.0000000;9898.0000000;5464
24.12.2020;0;9818.0000000;9892.0000000;9721.0000000;9753.0000000;3482
28.12.2020;0;9836.0000000;10130.0000000;9756.0000000;10092.0000000;8110
29.12.2020;0;10130.0000000;10225.0000000;9970.0000000;9972.0000000;5931
