<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24.08.2020;0;15884.0000000;16300.0000000;15884.0000000;16300.0000000;63
25.08.2020;0;16300.0000000;16400.0000000;15940.0000000;16400.0000000;2394
26.08.2020;0;16728.0000000;17200.0000000;16310.0000000;16800.0000000;2426
27.08.2020;0;16746.0000000;17350.0000000;16500.0000000;17200.0000000;2621
28.08.2020;0;17544.0000000;17894.0000000;16835.0000000;17300.0000000;943
31.08.2020;0;16930.0000000;17100.0000000;16481.0000000;16855.0000000;4391
01.09.2020;0;16712.0000000;16814.0000000;16569.0000000;16780.0000000;1210
02.09.2020;0;16750.0000000;17550.0000000;16750.0000000;17150.0000000;3124
03.09.2020;0;17395.0000000;17584.0000000;16222.0000000;16635.0000000;2835
04.09.2020;0;16270.0000000;16499.0000000;15520.0000000;16450.0000000;2656
08.09.2020;0;16121.0000000;16282.0000000;15475.0000000;15538.0000000;2919
09.09.2020;0;15538.0000000;16160.0000000;15522.0000000;15935.0000000;2008
10.09.2020;0;16200.0000000;16910.0000000;15400.0000000;15460.0000000;1475
11.09.2020;0;15633.0000000;15699.0000000;15145.0000000;15254.0000000;1300
14.09.2020;0;15136.0000000;15720.0000000;15136.0000000;15500.0000000;1016
15.09.2020;0;15810.0000000;15810.0000000;15479.0000000;15761.0000000;1374
16.09.2020;0;15683.0000000;15849.0000000;15380.0000000;15417.0000000;1618
17.09.2020;0;15397.0000000;15597.0000000;15065.0000000;15309.0000000;3081
18.09.2020;0;15320.0000000;15426.0000000;14880.0000000;15200.0000000;1739
21.09.2020;0;15172.0000000;15480.0000000;14921.0000000;15467.0000000;2164
22.09.2020;0;15489.0000000;15850.0000000;14104.0000000;15850.0000000;1585
23.09.2020;0;15850.0000000;15998.0000000;15450.0000000;15517.0000000;2188
24.09.2020;0;15501.0000000;15830.0000000;15329.0000000;15700.0000000;871
25.09.2020;0;15693.0000000;16330.0000000;15663.0000000;16205.0000000;1576
28.09.2020;0;16375.0000000;16740.0000000;16375.0000000;16584.0000000;2262
29.09.2020;0;16716.0000000;16770.0000000;16354.0000000;16403.0000000;1653
30.09.2020;0;16240.0000000;16466.0000000;16044.0000000;16300.0000000;794
01.10.2020;0;16370.0000000;16510.0000000;16281.0000000;16350.0000000;1625
02.10.2020;0;16400.0000000;16520.0000000;16130.0000000;16137.0000000;1172
05.10.2020;0;16251.0000000;16446.0000000;16206.0000000;16446.0000000;482
06.10.2020;0;16446.0000000;16548.0000000;16088.0000000;16123.0000000;1028
07.10.2020;0;16205.0000000;16400.0000000;16112.0000000;16321.0000000;654
08.10.2020;0;15200.0000000;16476.0000000;15200.0000000;16299.0000000;679
09.10.2020;0;16268.0000000;16558.0000000;16201.0000000;16553.0000000;951
13.10.2020;0;16744.0000000;17321.0000000;16152.0000000;17182.0000000;2859
14.10.2020;0;17220.0000000;17418.0000000;17034.0000000;17110.0000000;1119
15.10.2020;0;17016.0000000;17187.0000000;16858.0000000;17154.0000000;464
16.10.2020;0;17100.0000000;17335.0000000;17080.0000000;17080.0000000;664
19.10.2020;0;17200.0000000;17312.0000000;16650.0000000;16746.0000000;1221
20.10.2020;0;16250.0000000;16900.0000000;16250.0000000;16593.0000000;811
21.10.2020;0;16695.0000000;16695.0000000;16432.0000000;16520.0000000;469
22.10.2020;0;16554.0000000;16554.0000000;16258.0000000;16463.0000000;668
23.10.2020;0;16452.0000000;16513.0000000;16300.0000000;16480.0000000;480
26.10.2020;0;16368.0000000;16478.0000000;15960.0000000;16138.0000000;893
27.10.2020;0;16113.0000000;16700.0000000;16080.0000000;16476.0000000;846
28.10.2020;0;16351.0000000;16411.0000000;16016.0000000;16097.0000000;1050
29.10.2020;0;16110.0000000;16333.0000000;16050.0000000;16050.0000000;964
30.10.2020;0;16001.0000000;16150.0000000;15822.0000000;16117.0000000;1095
02.11.2020;0;16200.0000000;16544.0000000;16147.0000000;16183.0000000;1120
03.11.2020;0;16250.0000000;16491.0000000;16051.0000000;16477.0000000;587
05.11.2020;0;16694.0000000;17349.0000000;16694.0000000;17115.0000000;2676
06.11.2020;0;17224.0000000;17336.0000000;16805.0000000;17336.0000000;1460
09.11.2020;0;17400.0000000;17620.0000000;16589.0000000;16845.0000000;3065
10.11.2020;0;17210.0000000;17210.0000000;16060.0000000;16126.0000000;1728
11.11.2020;0;16188.0000000;16770.0000000;16150.0000000;16700.0000000;895
12.11.2020;0;16765.0000000;16883.0000000;16610.0000000;16619.0000000;403
13.11.2020;0;16730.0000000;16868.0000000;16685.0000000;16805.0000000;314
16.11.2020;0;16907.0000000;16907.0000000;16407.0000000;16508.0000000;883
17.11.2020;0;16517.0000000;16644.0000000;16339.0000000;16358.0000000;440
