<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01.06.1999;0;548.0000000;548.0000000;530.0200000;530.0200000;778
02.06.1999;0;534.0000000;534.0000000;495.0000000;503.5000000;1926
03.06.1999;0;499.0000000;540.0000000;499.0000000;535.0000000;3346
04.06.1999;0;547.0000000;553.0000000;530.0000000;550.0000000;4694
07.06.1999;0;558.0000000;573.9000000;550.0000000;567.4000000;3505
08.06.1999;0;570.0000000;600.0000000;570.0000000;585.0000000;3358
09.06.1999;0;578.0000000;605.0000000;578.0000000;600.0000000;5309
10.06.1999;0;609.0000000;645.0000000;609.0000000;626.0000000;7798
11.06.1999;0;620.0000000;710.0000000;620.0000000;710.0000000;4830
15.06.1999;0;700.0000000;700.0000000;670.0000000;673.0000000;3249
16.06.1999;0;671.6000000;760.0000000;665.0000000;760.0000000;4505
17.06.1999;0;775.1000000;900.0000000;770.0000000;825.0000000;7110
18.06.1999;0;820.0000000;1040.0000000;800.0000000;985.0000000;13639
21.06.1999;0;1040.0000000;1350.0000000;1040.0000000;1296.0000000;18086
22.06.1999;0;1320.0000000;1395.0000000;1101.0000000;1210.0000000;14196
23.06.1999;0;1245.0000000;1245.0000000;1060.0000000;1090.0000000;6083
24.06.1999;0;1140.0000000;1165.0000000;1080.0000000;1093.0000000;6794
25.06.1999;0;1120.0000000;1120.0000000;990.0000000;1057.0000000;3373
28.06.1999;0;1060.0100000;1075.0000000;995.0000000;1020.0000000;4313
29.06.1999;0;1025.0000000;1049.9900000;1020.0000000;1023.0000000;5072
30.06.1999;0;1045.0000000;1140.0000000;1021.0000000;1032.0000000;8505
01.07.1999;0;1100.0000000;1130.0000000;1052.0000000;1120.0000000;8477
02.07.1999;0;1150.0000000;1195.0000000;1108.0000000;1144.0000000;7456
05.07.1999;0;1150.0000000;1192.0000000;1150.0000000;1175.0000000;7242
06.07.1999;0;1198.0000000;1250.0000000;1198.0000000;1225.0000000;10426
07.07.1999;0;1240.0000000;1254.0000000;1110.0000000;1181.0000000;16199
08.07.1999;0;1188.0000000;1200.1000000;1151.0000000;1151.0000000;10014
09.07.1999;0;1150.0000000;1163.9000000;1115.0000000;1144.0000000;10751
12.07.1999;0;1160.0000000;1160.0000000;1050.0000000;1051.0000000;7895
13.07.1999;0;1096.0000000;1100.0000000;970.0100000;975.0000000;16181
14.07.1999;0;1000.0000000;1055.0000000;980.0000000;1045.0000000;17553
15.07.1999;0;1011.0000000;1035.0000000;983.0000000;999.0000000;8783
16.07.1999;0;990.0000000;998.0000000;970.0100000;976.0000000;2691
