<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
25.08.2020;0;246364.0000000;257084.0000000;245500.0000000;253112.0000000;140
26.08.2020;0;253708.0000000;260982.0000000;253082.0000000;260375.0000000;151
27.08.2020;0;265582.0000000;265582.0000000;254411.0000000;256242.0000000;66
28.08.2020;0;256012.0000000;256012.0000000;251892.0000000;253541.0000000;66
31.08.2020;0;253541.0000000;259635.0000000;252323.0000000;257439.0000000;73
01.09.2020;0;257600.0000000;258085.0000000;255555.0000000;257215.0000000;37
02.09.2020;0;258154.0000000;267612.0000000;258154.0000000;267612.0000000;113
03.09.2020;0;267462.0000000;267462.0000000;249360.0000000;251765.0000000;260
04.09.2020;0;249557.0000000;255383.0000000;235749.0000000;253115.0000000;237
08.09.2020;0;250457.0000000;250457.0000000;240000.0000000;241340.0000000;113
09.09.2020;0;240220.0000000;249340.0000000;240220.0000000;248549.0000000;84
10.09.2020;0;249823.0000000;250706.0000000;239423.0000000;239657.0000000;116
11.09.2020;0;241914.0000000;242588.0000000;232169.0000000;235061.0000000;101
14.09.2020;0;225555.0000000;240376.0000000;225555.0000000;238000.0000000;100
15.09.2020;0;235283.0000000;238500.0000000;234000.0000000;237511.0000000;119
16.09.2020;0;237377.0000000;239000.0000000;231933.0000000;235000.0000000;168
17.09.2020;0;228889.0000000;235000.0000000;224692.0000000;227200.0000000;211
18.09.2020;0;227000.0000000;229466.0000000;220500.0000000;221813.0000000;98
21.09.2020;0;222888.0000000;225666.0000000;220000.0000000;225666.0000000;126
22.09.2020;0;226684.0000000;239000.0000000;226684.0000000;239000.0000000;191
23.09.2020;0;239000.0000000;241000.0000000;230888.0000000;230888.0000000;206
24.09.2020;0;229225.0000000;236633.0000000;229225.0000000;233500.0000000;54
25.09.2020;0;235082.0000000;242700.0000000;232539.0000000;241687.0000000;185
28.09.2020;0;245000.0000000;251000.0000000;242923.0000000;243000.0000000;222
29.09.2020;0;252301.0000000;253873.0000000;249137.0000000;249137.0000000;126
30.09.2020;0;247856.0000000;248771.0000000;243418.0000000;243987.0000000;79
01.10.2020;0;250000.0000000;250000.0000000;245000.0000000;248889.0000000;74
02.10.2020;0;241111.0000000;249480.0000000;240900.0000000;244811.0000000;60
05.10.2020;0;247079.0000000;250000.0000000;245500.0000000;250000.0000000;102
06.10.2020;0;249597.0000000;250060.0000000;242244.0000000;242704.0000000;95
07.10.2020;0;244517.0000000;249667.0000000;243373.0000000;249667.0000000;66
08.10.2020;0;249735.0000000;251000.0000000;246563.0000000;246750.0000000;77
09.10.2020;0;247852.0000000;252500.0000000;246328.0000000;252500.0000000;72
13.10.2020;0;268890.0000000;269727.0000000;260511.0000000;265363.0000000;323
14.10.2020;0;268230.0000000;268713.0000000;260467.0000000;260467.0000000;69
15.10.2020;0;258719.0000000;261679.0000000;255744.0000000;260847.0000000;80
16.10.2020;0;262461.0000000;264584.0000000;252226.0000000;254432.0000000;81
19.10.2020;0;259000.0000000;260315.0000000;249100.0000000;249100.0000000;180
20.10.2020;0;253233.0000000;253233.0000000;248000.0000000;249221.0000000;163
21.10.2020;0;249993.0000000;249993.0000000;242960.0000000;244893.0000000;80
22.10.2020;0;245264.0000000;246496.0000000;239834.0000000;243450.0000000;171
23.10.2020;0;244686.0000000;244686.0000000;240319.0000000;244030.0000000;94
26.10.2020;0;243271.0000000;249200.0000000;242041.0000000;245095.0000000;84
27.10.2020;0;245559.0000000;254444.0000000;245559.0000000;254444.0000000;123
28.10.2020;0;254444.0000000;256228.0000000;250716.0000000;251000.0000000;244
29.10.2020;0;253036.0000000;261000.0000000;250000.0000000;250189.0000000;344
30.10.2020;0;247072.0000000;251481.0000000;240500.0000000;241559.0000000;180
02.11.2020;0;244037.0000000;248831.0000000;238500.0000000;241314.0000000;227
03.11.2020;0;243000.0000000;243800.0000000;237450.0000000;242409.0000000;133
05.11.2020;0;250000.0000000;259449.0000000;250000.0000000;254861.0000000;320
06.11.2020;0;255652.0000000;256800.0000000;252000.0000000;256200.0000000;91
09.11.2020;0;260154.0000000;261041.0000000;237108.0000000;241929.0000000;1046
10.11.2020;0;245004.0000000;245004.0000000;231102.0000000;232334.0000000;644
11.11.2020;0;231980.0000000;241095.0000000;231980.0000000;241042.0000000;368
12.11.2020;0;243000.0000000;245000.0000000;239064.0000000;241001.0000000;169
13.11.2020;0;241861.0000000;243755.0000000;239217.0000000;242171.0000000;162
16.11.2020;0;243000.0000000;243050.0000000;236890.0000000;238000.0000000;275
17.11.2020;0;239159.0000000;245878.0000000;238509.0000000;239887.0000000;373
18.11.2020;0;240123.0000000;240123.0000000;236706.0000000;237237.0000000;314
19.11.2020;0;239281.0000000;239281.0000000;235937.0000000;237300.0000000;120
20.11.2020;0;237668.0000000;238529.0000000;236481.0000000;236800.0000000;75
23.11.2020;0;235705.0000000;238500.0000000;234890.0000000;236708.0000000;114
24.11.2020;0;235674.0000000;237200.0000000;234513.0000000;235513.0000000;359
25.11.2020;0;233500.0000000;242321.0000000;232991.0000000;241046.0000000;253
27.11.2020;0;243549.0000000;245000.0000000;242519.0000000;243458.0000000;291
30.11.2020;0;243458.0000000;246000.0000000;239000.0000000;242017.0000000;271
01.12.2020;0;242755.0000000;245837.0000000;239000.0000000;243800.0000000;280
02.12.2020;0;242928.0000000;245123.0000000;239659.0000000;240513.0000000;182
03.12.2020;0;241860.0000000;241897.0000000;237237.0000000;238043.0000000;165
04.12.2020;0;238271.0000000;238335.0000000;233800.0000000;234123.0000000;242
07.12.2020;0;235930.0000000;235930.0000000;231500.0000000;232078.0000000;166
08.12.2020;0;232248.0000000;234369.0000000;228915.0000000;233903.0000000;205
09.12.2020;0;232970.0000000;234205.0000000;228046.0000000;229417.0000000;217
10.12.2020;0;229201.0000000;230040.0000000;225512.0000000;226961.0000000;245
11.12.2020;0;230435.0000000;230435.0000000;224866.0000000;227163.0000000;165
14.12.2020;0;227171.0000000;235500.0000000;227171.0000000;233772.0000000;274
15.12.2020;0;232914.0000000;234384.0000000;230509.0000000;232029.0000000;65
16.12.2020;0;231639.0000000;237914.0000000;231639.0000000;237913.0000000;288
17.12.2020;0;236003.0000000;238000.0000000;234817.0000000;234930.0000000;239
18.12.2020;0;234930.0000000;238850.0000000;233250.0000000;233275.0000000;105
21.12.2020;0;238032.0000000;242000.0000000;235353.0000000;238899.0000000;449
22.12.2020;0;240302.0000000;243325.0000000;240271.0000000;243325.0000000;198
23.12.2020;0;242760.0000000;242760.0000000;239000.0000000;240107.0000000;113
24.12.2020;0;240262.0000000;240262.0000000;234900.0000000;234900.0000000;81
28.12.2020;0;239320.0000000;243600.0000000;234200.0000000;242595.0000000;362
29.12.2020;0;243204.0000000;248080.0000000;241929.0000000;245902.0000000;302
30.12.2020;0;245200.0000000;249948.0000000;244662.0000000;245000.0000000;375
04.01.2021;0;242383.0000000;256000.0000000;233900.0000000;236683.0000000;421
05.01.2021;0;236321.0000000;240436.0000000;236013.0000000;237749.0000000;225
06.01.2021;0;235967.0000000;236279.0000000;231720.0000000;232452.0000000;427
08.01.2021;0;235510.0000000;238000.0000000;233200.0000000;236000.0000000;382
11.01.2021;0;235600.0000000;236732.0000000;232476.0000000;232600.0000000;266
12.01.2021;0;233287.0000000;233287.0000000;227915.0000000;230004.0000000;272
13.01.2021;0;230041.0000000;235111.0000000;230041.0000000;234000.0000000;149
14.01.2021;0;233277.0000000;233337.0000000;229229.0000000;229624.0000000;133
15.01.2021;0;230433.0000000;231048.0000000;228500.0000000;228774.0000000;90
19.01.2021;0;231987.0000000;231987.0000000;229100.0000000;230312.0000000;93
20.01.2021;0;231199.0000000;240977.0000000;230312.0000000;240353.0000000;350
21.01.2021;0;240353.0000000;246982.0000000;239480.0000000;244993.0000000;566
22.01.2021;0;244981.0000000;248500.0000000;243192.0000000;248500.0000000;346
25.01.2021;0;247160.0000000;254338.0000000;245000.0000000;247938.0000000;284
