<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24.08.2020;0;9680.0000000;9784.0000000;9680.0000000;9784.0000000;14
25.08.2020;0;9784.0000000;9894.0000000;9700.0000000;9825.0000000;1005
26.08.2020;0;9825.0000000;10045.0000000;9782.0000000;10045.0000000;656
27.08.2020;0;9948.0000000;10245.0000000;9887.0000000;10035.0000000;2011
28.08.2020;0;10001.0000000;10138.0000000;9973.0000000;10092.0000000;368
31.08.2020;0;10038.0000000;10225.0000000;9748.0000000;9890.0000000;526
01.09.2020;0;9693.0000000;9893.0000000;9650.0000000;9893.0000000;2416
02.09.2020;0;9898.0000000;10233.0000000;9882.0000000;10135.0000000;573
03.09.2020;0;10263.0000000;10263.0000000;9980.0000000;10045.0000000;866
04.09.2020;0;9896.0000000;10129.0000000;9800.0000000;9836.0000000;802
08.09.2020;0;10100.0000000;10465.0000000;10000.0000000;10290.0000000;1404
09.09.2020;0;10167.0000000;10270.0000000;10019.0000000;10029.0000000;965
10.09.2020;0;10049.0000000;10200.0000000;9963.0000000;10041.0000000;913
11.09.2020;0;10053.0000000;10054.0000000;9840.0000000;9905.0000000;1146
14.09.2020;0;9883.0000000;10029.0000000;9836.0000000;9942.0000000;561
15.09.2020;0;9888.0000000;9946.0000000;9845.0000000;9878.0000000;539
16.09.2020;0;9822.0000000;9998.0000000;9822.0000000;9941.0000000;467
17.09.2020;0;9866.0000000;9914.0000000;9714.0000000;9776.0000000;536
18.09.2020;0;9776.0000000;9881.0000000;9710.0000000;9755.0000000;640
21.09.2020;0;9712.0000000;9786.0000000;9274.0000000;9699.0000000;595
22.09.2020;0;9551.0000000;9697.0000000;9483.0000000;9640.0000000;519
23.09.2020;0;9639.0000000;9835.0000000;9486.0000000;9530.0000000;579
24.09.2020;0;9462.0000000;9525.0000000;9366.0000000;9500.0000000;499
25.09.2020;0;9847.0000000;9850.0000000;9450.0000000;9728.0000000;557
28.09.2020;0;9770.0000000;10042.0000000;9500.0000000;9965.0000000;779
29.09.2020;0;10006.0000000;10137.0000000;9750.0000000;9750.0000000;525
30.09.2020;0;9734.0000000;9759.0000000;9590.0000000;9672.0000000;828
01.10.2020;0;9636.0000000;9714.0000000;9492.0000000;9557.0000000;826
02.10.2020;0;9504.0000000;9644.0000000;9487.0000000;9597.0000000;536
05.10.2020;0;9757.0000000;9757.0000000;9599.0000000;9676.0000000;403
06.10.2020;0;9615.0000000;9700.0000000;9463.0000000;9463.0000000;476
07.10.2020;0;9524.0000000;9634.0000000;9470.0000000;9599.0000000;516
08.10.2020;0;9630.0000000;9680.0000000;9515.0000000;9520.0000000;275
09.10.2020;0;9533.0000000;9620.0000000;9487.0000000;9620.0000000;247
13.10.2020;0;9799.0000000;10130.0000000;9621.0000000;9956.0000000;1751
14.10.2020;0;10000.0000000;10049.0000000;9737.0000000;9845.0000000;363
15.10.2020;0;9775.0000000;9955.0000000;9680.0000000;9924.0000000;388
16.10.2020;0;9993.0000000;10000.0000000;9850.0000000;9879.0000000;147
19.10.2020;0;9964.0000000;9980.0000000;9650.0000000;9662.0000000;253
20.10.2020;0;9855.0000000;9855.0000000;9600.0000000;9632.0000000;461
21.10.2020;0;9680.0000000;9758.0000000;9580.0000000;9746.0000000;234
22.10.2020;0;9706.0000000;9814.0000000;9690.0000000;9766.0000000;211
23.10.2020;0;9784.0000000;9814.0000000;9645.0000000;9645.0000000;77
26.10.2020;0;9693.0000000;9758.0000000;9405.0000000;9600.0000000;248
27.10.2020;0;9505.0000000;9568.0000000;9488.0000000;9534.0000000;233
28.10.2020;0;9534.0000000;9554.0000000;9347.0000000;9399.0000000;613
29.10.2020;0;9442.0000000;9653.0000000;9347.0000000;9620.0000000;213
30.10.2020;0;9438.0000000;9630.0000000;9438.0000000;9630.0000000;361
02.11.2020;0;9600.0000000;9900.0000000;9600.0000000;9727.0000000;1199
03.11.2020;0;9714.0000000;9900.0000000;9650.0000000;9900.0000000;154
05.11.2020;0;9868.0000000;9915.0000000;9747.0000000;9793.0000000;353
06.11.2020;0;9793.0000000;9900.0000000;9700.0000000;9900.0000000;219
09.11.2020;0;9900.0000000;11098.0000000;9900.0000000;11000.0000000;4156
10.11.2020;0;11100.0000000;11102.0000000;10561.0000000;10849.0000000;1530
11.11.2020;0;10773.0000000;10900.0000000;10560.0000000;10622.0000000;612
12.11.2020;0;10557.0000000;10622.0000000;10400.0000000;10447.0000000;920
13.11.2020;0;10829.0000000;10986.0000000;10623.0000000;10710.0000000;1173
16.11.2020;0;10783.0000000;11010.0000000;10701.0000000;11007.0000000;833
17.11.2020;0;11008.0000000;11045.0000000;10917.0000000;11003.0000000;114
18.11.2020;0;11010.0000000;11045.0000000;10924.0000000;11000.0000000;264
19.11.2020;0;10955.0000000;10955.0000000;10815.0000000;10815.0000000;69
20.11.2020;0;10705.0000000;10841.0000000;10705.0000000;10780.0000000;90
23.11.2020;0;10780.0000000;11240.0000000;10768.0000000;11125.0000000;140
24.11.2020;0;11179.0000000;11460.0000000;11141.0000000;11425.0000000;166
25.11.2020;0;11481.0000000;11512.0000000;11200.0000000;11246.0000000;274
27.11.2020;0;11245.0000000;11403.0000000;11176.0000000;11200.0000000;314
30.11.2020;0;11149.0000000;11301.0000000;10982.0000000;11263.0000000;698
01.12.2020;0;11404.0000000;11450.0000000;11327.0000000;11392.0000000;336
