<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24.08.2020;0;118498.0000000;119744.0000000;118498.0000000;119744.0000000;3
25.08.2020;0;119800.0000000;121560.0000000;118742.0000000;121560.0000000;58
26.08.2020;0;121862.0000000;127339.0000000;121862.0000000;124916.0000000;407
27.08.2020;0;124743.0000000;127000.0000000;122855.0000000;122855.0000000;66
28.08.2020;0;123208.0000000;123208.0000000;121087.0000000;121826.0000000;47
31.08.2020;0;121623.0000000;125000.0000000;121595.0000000;121595.0000000;73
01.09.2020;0;120647.0000000;122850.0000000;120500.0000000;122850.0000000;78
02.09.2020;0;123889.0000000;130489.0000000;123389.0000000;127465.0000000;377
03.09.2020;0;130500.0000000;130970.0000000;121950.0000000;122490.0000000;169
04.09.2020;0;122328.0000000;123950.0000000;117519.0000000;119917.0000000;155
08.09.2020;0;120000.0000000;120284.0000000;116975.0000000;117000.0000000;67
09.09.2020;0;116679.0000000;118700.0000000;116440.0000000;117595.0000000;80
10.09.2020;0;118751.0000000;118751.0000000;115406.0000000;115536.0000000;107
11.09.2020;0;116000.0000000;116815.0000000;112772.0000000;114097.0000000;71
14.09.2020;0;115579.0000000;117592.0000000;114920.0000000;114920.0000000;34
15.09.2020;0;114724.0000000;117009.0000000;114724.0000000;115858.0000000;62
16.09.2020;0;115485.0000000;116794.0000000;114348.0000000;116000.0000000;44
17.09.2020;0;113104.0000000;115579.0000000;111000.0000000;112250.0000000;151
18.09.2020;0;114593.0000000;114593.0000000;109000.0000000;110562.0000000;233
21.09.2020;0;111499.0000000;111499.0000000;107990.0000000;110150.0000000;173
22.09.2020;0;109873.0000000;111790.0000000;109313.0000000;111730.0000000;224
23.09.2020;0;112551.0000000;113013.0000000;109000.0000000;109000.0000000;194
24.09.2020;0;108521.0000000;111000.0000000;108521.0000000;110000.0000000;78
25.09.2020;0;110000.0000000;113308.0000000;109985.0000000;112904.0000000;103
28.09.2020;0;114098.0000000;116500.0000000;106000.0000000;114800.0000000;168
29.09.2020;0;115990.0000000;117545.0000000;115342.0000000;116256.0000000;200
30.09.2020;0;116256.0000000;116256.0000000;113470.0000000;114800.0000000;71
01.10.2020;0;114137.0000000;116015.0000000;114137.0000000;115337.0000000;73
02.10.2020;0;114071.0000000;116114.0000000;114000.0000000;114700.0000000;59
05.10.2020;0;114408.0000000;116418.0000000;114408.0000000;116026.0000000;101
06.10.2020;0;116568.0000000;116568.0000000;113676.0000000;113676.0000000;90
07.10.2020;0;114273.0000000;114531.0000000;112768.0000000;114016.0000000;116
08.10.2020;0;114425.0000000;115073.0000000;113194.0000000;114950.0000000;71
09.10.2020;0;114505.0000000;116328.0000000;114505.0000000;116191.0000000;68
13.10.2020;0;116500.0000000;122377.0000000;114202.0000000;121171.0000000;191
14.10.2020;0;122400.0000000;122634.0000000;120700.0000000;121510.0000000;66
15.10.2020;0;120153.0000000;123000.0000000;119742.0000000;121926.0000000;55
16.10.2020;0;121925.0000000;123159.0000000;121359.0000000;122463.0000000;45
19.10.2020;0;123317.0000000;123708.0000000;119350.0000000;119700.0000000;58
20.10.2020;0;119467.0000000;121600.0000000;119082.0000000;120525.0000000;74
21.10.2020;0;119859.0000000;124194.0000000;119859.0000000;122465.0000000;68
22.10.2020;0;121869.0000000;124000.0000000;121869.0000000;123933.0000000;27
23.10.2020;0;123850.0000000;125167.0000000;123556.0000000;125000.0000000;155
26.10.2020;0;124666.0000000;124728.0000000;121100.0000000;121100.0000000;56
27.10.2020;0;121133.0000000;123946.0000000;121133.0000000;123876.0000000;17
28.10.2020;0;123199.0000000;123912.0000000;120197.0000000;120897.0000000;62
29.10.2020;0;122015.0000000;127300.0000000;120900.0000000;126999.0000000;101
30.10.2020;0;130000.0000000;133296.0000000;128064.0000000;128906.0000000;249
02.11.2020;0;129690.0000000;133543.0000000;129690.0000000;130577.0000000;111
