<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24.08.2020;0;3650.0000000;3690.0000000;3650.0000000;3688.0000000;292
25.08.2020;0;3720.0000000;3740.0000000;3665.0000000;3738.0000000;10204
26.08.2020;0;3750.0000000;3797.0000000;3735.0000000;3741.0000000;9484
27.08.2020;0;3753.0000000;3761.0000000;3702.0000000;3713.0000000;4479
28.08.2020;0;3725.0000000;3815.0000000;3670.0000000;3769.0000000;7688
31.08.2020;0;3769.0000000;3867.0000000;3748.0000000;3819.0000000;13539
01.09.2020;0;3797.0000000;3803.0000000;3701.0000000;3760.0000000;10822
02.09.2020;0;3839.0000000;3984.0000000;3760.0000000;3958.0000000;28672
03.09.2020;0;3931.0000000;3984.0000000;3683.0000000;3815.0000000;29708
04.09.2020;0;3820.0000000;3853.0000000;3732.0000000;3790.0000000;8700
08.09.2020;0;3886.0000000;3886.0000000;3739.0000000;3739.0000000;14589
09.09.2020;0;3730.0000000;3788.0000000;3715.0000000;3750.0000000;5390
10.09.2020;0;3794.0000000;3795.0000000;3677.0000000;3695.0000000;4652
11.09.2020;0;3687.0000000;3752.0000000;3683.0000000;3700.0000000;4501
14.09.2020;0;3745.0000000;3745.0000000;3673.0000000;3729.0000000;4661
15.09.2020;0;3727.0000000;3796.0000000;3709.0000000;3762.0000000;3904
16.09.2020;0;3837.0000000;3837.0000000;3760.0000000;3786.0000000;5194
17.09.2020;0;3786.0000000;3796.0000000;3701.0000000;3779.0000000;2790
18.09.2020;0;3770.0000000;3810.0000000;3716.0000000;3790.0000000;3509
21.09.2020;0;3773.0000000;3796.0000000;3732.0000000;3790.0000000;5470
22.09.2020;0;3800.0000000;3809.0000000;3772.0000000;3794.0000000;2765
23.09.2020;0;3750.0000000;3850.0000000;3750.0000000;3768.0000000;2774
24.09.2020;0;3768.0000000;3817.0000000;3730.0000000;3806.0000000;2131
25.09.2020;0;3802.0000000;3925.0000000;3751.0000000;3901.0000000;10392
28.09.2020;0;3900.0000000;4080.0000000;3900.0000000;4078.0000000;6590
29.09.2020;0;4076.0000000;4110.0000000;4030.0000000;4066.0000000;4261
30.09.2020;0;4037.0000000;4059.0000000;3956.0000000;4024.0000000;3636
01.10.2020;0;4025.0000000;4070.0000000;4012.0000000;4041.0000000;4262
02.10.2020;0;4017.0000000;4067.0000000;3965.0000000;3997.0000000;5438
05.10.2020;0;3998.0000000;4053.0000000;3998.0000000;4040.0000000;2034
06.10.2020;0;4039.0000000;4104.0000000;4002.0000000;4023.0000000;2795
07.10.2020;0;4078.0000000;4134.0000000;4025.0000000;4110.0000000;3372
08.10.2020;0;4112.0000000;4153.0000000;4086.0000000;4140.0000000;4432
09.10.2020;0;4154.0000000;4154.0000000;4050.0000000;4061.0000000;6815
13.10.2020;0;4142.0000000;4200.0000000;4120.0000000;4160.0000000;4051
14.10.2020;0;4174.0000000;4204.0000000;4158.0000000;4158.0000000;1704
15.10.2020;0;4050.0000000;4215.0000000;4050.0000000;4198.0000000;4520
16.10.2020;0;4220.0000000;4260.0000000;4162.0000000;4220.0000000;2363
19.10.2020;0;4254.0000000;4500.0000000;4184.0000000;4264.0000000;4939
20.10.2020;0;4288.0000000;4290.0000000;4116.0000000;4117.0000000;6701
21.10.2020;0;4129.0000000;4153.0000000;4075.0000000;4124.0000000;2076
22.10.2020;0;4109.0000000;4250.0000000;3801.0000000;3864.0000000;10007
23.10.2020;0;3875.0000000;3938.0000000;3645.0000000;3750.0000000;43670
26.10.2020;0;3740.0000000;3740.0000000;3535.0000000;3590.0000000;19001
27.10.2020;0;3592.0000000;3609.0000000;3500.0000000;3520.0000000;9471
28.10.2020;0;3542.0000000;3555.0000000;3491.0000000;3513.0000000;11203
29.10.2020;0;3501.0000000;3569.0000000;3485.0000000;3493.0000000;7463
30.10.2020;0;3470.0000000;3545.0000000;3420.0000000;3521.0000000;6743
02.11.2020;0;3549.0000000;3639.0000000;3534.0000000;3573.0000000;9105
03.11.2020;0;3608.0000000;3614.0000000;3550.0000000;3574.0000000;5086
05.11.2020;0;3604.0000000;3640.0000000;3510.0000000;3516.0000000;11129
06.11.2020;0;3458.0000000;3550.0000000;3458.0000000;3529.0000000;9773
09.11.2020;0;3558.0000000;3612.0000000;3470.0000000;3520.0000000;29410
10.11.2020;0;3503.0000000;3559.0000000;3460.0000000;3480.0000000;19974
11.11.2020;0;3539.0000000;3585.0000000;3484.0000000;3577.0000000;11463
12.11.2020;0;3588.0000000;3597.0000000;3453.0000000;3472.0000000;29873
13.11.2020;0;3484.0000000;3527.0000000;3476.0000000;3524.0000000;12372
16.11.2020;0;3542.0000000;3586.0000000;3498.0000000;3513.0000000;18248
17.11.2020;0;3533.0000000;3545.0000000;3471.0000000;3479.0000000;8335
18.11.2020;0;3476.0000000;3491.0000000;3380.0000000;3439.0000000;18362
19.11.2020;0;3455.0000000;3469.0000000;3424.0000000;3462.0000000;9367
20.11.2020;0;3471.0000000;3491.0000000;3448.0000000;3470.0000000;4844
23.11.2020;0;3460.0000000;3515.0000000;3443.0000000;3512.0000000;8439
24.11.2020;0;3493.0000000;3575.0000000;3492.0000000;3550.0000000;10701
25.11.2020;0;3567.0000000;3575.0000000;3513.0000000;3552.0000000;7743
27.11.2020;0;3576.0000000;3650.0000000;3558.0000000;3619.0000000;13287
30.11.2020;0;3601.0000000;3679.0000000;3597.0000000;3677.0000000;9372
01.12.2020;0;3677.0000000;3792.0000000;3677.0000000;3771.0000000;13738
02.12.2020;0;3769.0000000;3769.0000000;3700.0000000;3750.0000000;10306
03.12.2020;0;3751.0000000;3808.0000000;3709.0000000;3791.0000000;9521
04.12.2020;0;3786.0000000;3885.0000000;3771.0000000;3841.0000000;14478
07.12.2020;0;3846.0000000;3870.0000000;3636.0000000;3682.0000000;22948
08.12.2020;0;3675.0000000;3723.0000000;3636.0000000;3717.0000000;7167
09.12.2020;0;3720.0000000;3749.0000000;3675.0000000;3702.0000000;7491
10.12.2020;0;3745.0000000;3745.0000000;3635.0000000;3685.0000000;4279
11.12.2020;0;3685.0000000;3685.0000000;3590.0000000;3630.0000000;4630
14.12.2020;0;3623.0000000;3760.0000000;3619.0000000;3740.0000000;8731
15.12.2020;0;3722.0000000;3749.0000000;3690.0000000;3715.0000000;4561
16.12.2020;0;3714.0000000;3769.0000000;3713.0000000;3763.0000000;3199
