<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24.08.2020;0;37893.0000000;38218.0000000;37800.0000000;38218.0000000;30
25.08.2020;0;38900.0000000;45000.0000000;37728.0000000;39600.0000000;3058
26.08.2020;0;39650.0000000;39650.0000000;38271.0000000;38600.0000000;1295
27.08.2020;0;38489.0000000;38744.0000000;37900.0000000;38222.0000000;692
28.08.2020;0;38102.0000000;39078.0000000;37310.0000000;38900.0000000;923
31.08.2020;0;39400.0000000;40359.0000000;38916.0000000;39350.0000000;1229
01.09.2020;0;40137.0000000;41259.0000000;39610.0000000;40783.0000000;1156
02.09.2020;0;41268.0000000;43860.0000000;40543.0000000;43000.0000000;3242
03.09.2020;0;43519.0000000;43844.0000000;38789.0000000;38800.0000000;3995
04.09.2020;0;38151.0000000;39700.0000000;35433.0000000;38179.0000000;8012
08.09.2020;0;38942.0000000;38942.0000000;35601.0000000;36777.0000000;3513
09.09.2020;0;36611.0000000;38689.0000000;36611.0000000;38450.0000000;2398
10.09.2020;0;38500.0000000;39020.0000000;36700.0000000;37063.0000000;1709
11.09.2020;0;37388.0000000;38016.0000000;35848.0000000;36755.0000000;1532
14.09.2020;0;37490.0000000;40043.0000000;36077.0000000;38801.0000000;4291
15.09.2020;0;38999.0000000;39916.0000000;38511.0000000;39130.0000000;2158
16.09.2020;0;39477.0000000;39497.0000000;37655.0000000;38000.0000000;1782
17.09.2020;0;38000.0000000;38253.0000000;36050.0000000;37576.0000000;2603
18.09.2020;0;37690.0000000;38111.0000000;36360.0000000;37244.0000000;2029
21.09.2020;0;36704.0000000;38320.0000000;36100.0000000;38002.0000000;2665
22.09.2020;0;38018.0000000;38480.0000000;37090.0000000;38215.0000000;1674
23.09.2020;0;38396.0000000;39009.0000000;37262.0000000;37413.0000000;1614
24.09.2020;0;37261.0000000;38712.0000000;36927.0000000;38057.0000000;1395
25.09.2020;0;38351.0000000;40265.0000000;38026.0000000;39400.0000000;1489
28.09.2020;0;41285.0000000;41800.0000000;39691.0000000;41300.0000000;1695
29.09.2020;0;41200.0000000;42357.0000000;40185.0000000;42259.0000000;1221
30.09.2020;0;41511.0000000;42350.0000000;40887.0000000;41726.0000000;1348
01.10.2020;0;42092.0000000;42810.0000000;41800.0000000;42100.0000000;1363
02.10.2020;0;41225.0000000;42306.0000000;40870.0000000;40870.0000000;1447
05.10.2020;0;41276.0000000;42623.0000000;41198.0000000;42514.0000000;1142
06.10.2020;0;43000.0000000;44070.0000000;42651.0000000;42979.0000000;1480
07.10.2020;0;43681.0000000;44015.0000000;43300.0000000;43600.0000000;629
08.10.2020;0;43628.0000000;44000.0000000;42454.0000000;42700.0000000;1107
