<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
19.07.2006;0;220.3200000;220.3200000;203.0300000;203.9500000;517741
20.07.2006;0;204.0000000;205.1000000;203.1500000;203.2600000;1141022
21.07.2006;0;204.3000000;204.6000000;200.0000000;202.0000000;1864106
24.07.2006;0;202.0000000;203.2000000;199.2500000;201.9900000;793842
25.07.2006;0;203.0000000;203.7500000;201.2700000;202.6900000;1674834
26.07.2006;0;203.0000000;203.2500000;202.0100000;203.1000000;1009200
27.07.2006;0;203.4500000;203.7500000;202.5000000;203.5000000;2198735
28.07.2006;0;203.0100000;203.5000000;202.6000000;202.8000000;523210
31.07.2006;0;204.0000000;204.0000000;202.5500000;202.6000000;174152
01.08.2006;0;202.5000000;203.0000000;202.1100000;202.7500000;384126
02.08.2006;0;203.0000000;203.0000000;201.5000000;201.9900000;175971
03.08.2006;0;202.0000000;202.4000000;200.1000000;200.7500000;1889088
04.08.2006;0;200.7500000;201.5000000;200.5000000;200.9900000;1376511
07.08.2006;0;200.9000000;201.5000000;199.7000000;200.3000000;1180921
08.08.2006;0;200.8000000;200.9900000;195.9000000;196.8500000;1975449
09.08.2006;0;196.9100000;198.5000000;196.0000000;198.2400000;983044
10.08.2006;0;197.5000000;200.0000000;195.9600000;200.0000000;1822600
11.08.2006;0;200.0000000;202.3000000;199.1200000;201.2200000;1375009
14.08.2006;0;200.2000000;202.0000000;197.7700000;198.0000000;1433927
15.08.2006;0;198.0200000;199.7000000;197.0000000;199.5100000;1095568
16.08.2006;0;198.5000000;201.9000000;198.1200000;201.0000000;1003847
17.08.2006;0;200.3100000;201.3400000;199.3000000;199.8900000;555110
18.08.2006;0;199.9000000;199.9000000;198.5000000;199.4000000;1133805
21.08.2006;0;199.8700000;199.8700000;197.9800000;198.0000000;540212
22.08.2006;0;198.1900000;199.9000000;198.0000000;199.9000000;853842
23.08.2006;0;199.3100000;199.9000000;198.8500000;199.7500000;294694
24.08.2006;0;199.0000000;200.0000000;198.3000000;200.0000000;779839
25.08.2006;0;199.0100000;202.8700000;199.0100000;202.2900000;876867
28.08.2006;0;201.8000000;202.0000000;201.3000000;201.3000000;531312
29.08.2006;0;200.8000000;202.2000000;200.8000000;200.8000000;967290
30.08.2006;0;200.8000000;201.3900000;199.0000000;199.5000000;526325
31.08.2006;0;199.8000000;201.6900000;197.5000000;197.7000000;876038
01.09.2006;0;198.0100000;200.4000000;197.3000000;200.3000000;504754
04.09.2006;0;200.9500000;202.0000000;199.0000000;199.5100000;105974
05.09.2006;0;199.8000000;201.9000000;198.8000000;201.9000000;839769
06.09.2006;0;201.3000000;201.9000000;200.3300000;201.0000000;502086
